liquidity_rank,stock_id,stock_name,industry_category,type,close,volume,volume_thousand_shares,amount,amount_million,transaction,as_of_date
1,2330,台積電,半導體業,twse,2355.0,104783831,104783.83,246787941206,246787.94,127095,2026-05-30
2,2454,聯發科,半導體業,twse,4310.0,23109791,23109.79,100081968164,100081.97,134616,2026-05-30
3,2317,鴻海,其他電子業,twse,289.0,289511198,289511.2,82003231787,82003.23,189186,2026-05-30
4,6770,力積電,半導體業,twse,88.7,829646406,829646.41,70112295081,70112.3,353091,2026-05-30
5,2303,聯電,電子工業,twse,144.5,366515715,366515.72,52317105549,52317.11,148164,2026-05-30
6,2408,南亞科,半導體業,twse,347.0,140975644,140975.64,48771147023,48771.15,107092,2026-05-30
7,3481,群創,光電業,twse,51.0,897327645,897327.64,44843393073,44843.39,293949,2026-05-30
8,2308,台達電,電子工業,twse,2445.0,17179076,17179.08,42422805795,42422.81,33853,2026-05-30
9,2344,華邦電,半導體業,twse,158.0,249880280,249880.28,39141432292,39141.43,110749,2026-05-30
10,3443,創意,半導體業,twse,4670.0,7153455,7153.46,32009611980,32009.61,39120,2026-05-30
11,2382,廣達,電子工業,twse,339.0,87792646,87792.65,29138110339,29138.11,54426,2026-05-30
12,2337,旺宏,半導體業,twse,166.5,170917629,170917.63,28394116522,28394.12,129550,2026-05-30
13,3711,日月光投控,半導體業,twse,611.0,43968378,43968.38,27140610946,27140.61,72881,2026-05-30
14,2324,仁寶,電子工業,twse,36.7,709500533,709500.53,25952701893,25952.7,114536,2026-05-30
15,3017,奇鋐,電子工業,twse,2665.0,9351169,9351.17,25024183485,25024.18,17500,2026-05-30
16,2313,華通,電子工業,twse,284.5,84156366,84156.37,23392963031,23392.96,84127,2026-05-30
17,3037,欣興,電子工業,twse,1055.0,21107426,21107.43,22254481820,22254.48,30957,2026-05-30
18,2449,京元電子,半導體業,twse,328.5,68983487,68983.49,22141333928,22141.33,86382,2026-05-30
19,2327,國巨*,電子工業,twse,738.0,28926802,28926.8,21735195938,21735.2,40796,2026-05-30
20,2383,台光電,電子工業,twse,5120.0,3687942,3687.94,18894538885,18894.54,11241,2026-05-30
21,3231,緯創,電子工業,twse,158.5,114139019,114139.02,18028178309,18028.18,46076,2026-05-30
22,6669,緯穎,電子工業,twse,5445.0,3282663,3282.66,17703445640,17703.45,26736,2026-05-30
23,6531,愛普*,電子工業,twse,1190.0,13570160,13570.16,16073314445,16073.31,15578,2026-05-30
24,2345,智邦,通信網路業,twse,2430.0,6396739,6396.74,15627596485,15627.6,10601,2026-05-30
25,7769,鴻勁,半導體業,twse,8260.0,1880557,1880.56,15419435905,15419.44,12438,2026-05-30
26,2356,英業達,電子工業,twse,70.2,220828986,220828.99,15400578054,15400.58,97355,2026-05-30
27,2881,富邦金,金融保險,twse,110.0,139031768,139031.77,15238927149,15238.93,27920,2026-05-30
28,8046,南電,電子零組件業,twse,848.0,17926232,17926.23,15201035788,15201.04,39652,2026-05-30
29,1303,南亞,塑膠工業,twse,98.1,150486779,150486.78,14542450841,14542.45,63626,2026-05-30
30,2301,光寶科,電子工業,twse,234.5,58581295,58581.3,13834366356,13834.37,28797,2026-05-30
31,2360,致茂,其他電子業,twse,2520.0,5371739,5371.74,13479404500,13479.4,10347,2026-05-30
32,1504,東元,電機機械,twse,75.0,176360584,176360.58,13253796461,13253.8,35828,2026-05-30
33,2474,可成,電子工業,twse,203.5,61961352,61961.35,12538765631,12538.77,14995,2026-05-30
34,2376,技嘉,電子工業,twse,370.0,33434927,33434.93,12296682447,12296.68,30662,2026-05-30
35,2409,友達,光電業,twse,23.0,481574851,481574.85,10879111164,10879.11,113440,2026-05-30
36,0050,元大台灣50,ETF,twse,105.4,102355526,102355.53,10636250508,10636.25,80065,2026-05-30
37,2357,華碩,電子工業,twse,761.0,13953540,13953.54,10553200920,10553.2,20434,2026-05-30
38,3042,晶技,電子零組件業,twse,215.5,46795998,46796.0,10239309920,10239.31,36795,2026-05-30
39,3661,世芯-KY,半導體業,twse,4415.0,2199066,2199.07,9743377815,9743.38,10817,2026-05-30
40,2368,金像電,電子工業,twse,1320.0,6593515,6593.52,8648234955,8648.23,14128,2026-05-30
41,1402,遠東新,紡織纖維,twse,25.65,330333051,330333.05,8424924700,8424.92,25266,2026-05-30
42,6285,啟碁,通信網路業,twse,319.0,26333214,26333.21,8415096062,8415.1,27999,2026-05-30
43,3653,健策,電子零組件業,twse,3545.0,2343319,2343.32,8221940120,8221.94,10459,2026-05-30
44,2472,立隆電,電子工業,twse,371.0,21372445,21372.44,8044580912,8044.58,18053,2026-05-30
45,2375,凱美,電子工業,twse,166.5,47401162,47401.16,7919824377,7919.82,36316,2026-05-30
46,6805,富世達,電子工業,twse,1930.0,4063304,4063.3,7686167865,7686.17,13998,2026-05-30
47,1102,亞泥,水泥工業,twse,34.0,205245004,205245.0,6966688853,6966.69,9496,2026-05-30
48,2891,中信金,金融保險,twse,60.5,113545993,113545.99,6884591905,6884.59,19366,2026-05-30
49,8039,台虹,電子工業,twse,162.0,41757020,41757.02,6882476101,6882.48,22913,2026-05-30
50,2603,長榮,航運業,twse,213.0,30658046,30658.05,6567701649,6567.7,13946,2026-05-30
51,2481,強茂,半導體業,twse,162.5,40975255,40975.25,6509929765,6509.93,23327,2026-05-30
52,6239,力成,半導體業,twse,379.0,17024627,17024.63,6432847648,6432.85,22604,2026-05-30
53,2882,國泰金,金融保險,twse,85.7,71446779,71446.78,6087846829,6087.85,18106,2026-05-30
54,6515,穎崴,電子工業,twse,8665.0,685628,685.63,6057012315,6057.01,26934,2026-05-30
55,2610,華航,航運業,twse,19.1,314468608,314468.61,5999530916,5999.53,16585,2026-05-30
56,6442,光聖,電子工業,twse,1845.0,3192701,3192.7,5979486695,5979.49,17130,2026-05-30
57,4958,臻鼎-KY,電子工業,twse,515.0,11454003,11454.0,5824792666,5824.79,15279,2026-05-30
58,3665,貿聯-KY,其他電子業,twse,2085.0,2705900,2705.9,5781771335,5781.77,8127,2026-05-30
59,1802,台玻,玻璃陶瓷,twse,71.9,78210167,78210.17,5583146995,5583.15,42510,2026-05-30
60,6213,聯茂,電子工業,twse,268.5,20471464,20471.46,5582558065,5582.56,20744,2026-05-30
61,2633,台灣高鐵,航運業,twse,24.85,222475014,222475.01,5532076019,5532.08,10806,2026-05-30
62,8028,昇陽半導體,半導體業,twse,327.0,16378766,16378.77,5520787175,5520.79,17166,2026-05-30
63,2885,元大金,金融保險,twse,59.6,91346270,91346.27,5446781562,5446.78,12271,2026-05-30
64,3706,神達,電腦及週邊設備業,twse,88.8,61351414,61351.41,5411853676,5411.85,36427,2026-05-30
65,2377,微星,電子工業,twse,131.0,41284924,41284.92,5376368284,5376.37,28968,2026-05-30
66,3189,景碩,半導體業,twse,729.0,7357595,7357.6,5320212011,5320.21,15042,2026-05-30
67,2395,研華,電腦及週邊設備業,twse,495.0,10573832,10573.83,5269181279,5269.18,6142,2026-05-30
68,2887,台新新光金,金融保險,twse,23.35,225036097,225036.1,5237465236,5237.47,40632,2026-05-30
69,3008,大立光,光電業,twse,3515.0,1477877,1477.88,5190853410,5190.85,8178,2026-05-30
70,3006,晶豪科,半導體業,twse,246.5,20608782,20608.78,5100904849,5100.9,15337,2026-05-30
71,6446,藥華藥,化學生技醫療,twse,930.0,5399400,5399.4,4945086882,4945.09,7654,2026-05-30
72,2886,兆豐金,金融保險,twse,40.0,121250792,121250.79,4866241271,4866.24,14389,2026-05-30
